Nro1;Nro2;Nro3;Nro4;Nro5;Nro6
1;11;14;18;23;46
7;11;16;20;39;46
9;10;19;31;40;47
2;16;25;30;41;42
7;22;35;38;41;48
8;14;15;35;44;47
17;23;27;31;43;48
8;8;18;23;34;45
8;24;26;32;38;39
7;16;19;41;46;47
1;2;20;22;41;42
2;4;25;38;42;48
5;8;9;13;30;47
6;11;14;19;26;30
10;11;14;20;27;46
9;8;28;35;36;42
19;21;25;32;40;42
9;21;26;29;33;47
5;10;18;21;26;31
9;23;30;36;43;48
1;18;24;33;44;47
5;10;17;20;45;46
6;8;13;25;27;32
3;9;16;22;30;37
4;17;18;28;40;42
7;8;13;20;27;36
9;10;16;18;27;45
2;8;11;23;37;47
4;11;27;29;31;33
2;15;16;27;31;43
5;8;18;20;34;41
6;13;14;27;34;42
18;28;38;41;42;44
2;9;14;16;30;41
15;16;18;37;41;42
8;14;20;32;41;43
1;9;16;24;37;38
9;10;29;30;34;35
10;17;37;40;43;46
2;8;13;39;43;47
1;9;15;16;33;48
1;6;22;30;37;43
3;6;9;28;40;48
10;11;16;18;36;45
11;19;35;36;37;42
2;11;19;32;43;44
4;13;42;43;47;48
5;15;16;26;42;47
5;8;18;23;42;43
2;20;23;30;36;45
11;14;20;28;29;42
1;9;26;34;38;44
9;8;16;29;33;38
6;14;16;17;43;45
1;7;17;36;37;44
28;34;35;37;39;45
2;4;6;8;38;47
6;11;18;28;39;43
6;11;14;40;41;44
3;23;31;32;41;48
3;9;8;20;31;41
10;27;28;38;39;42
3;4;9;16;34;48
2;13;19;28;29;40
9;15;21;23;38;40
17;19;20;22;45;46
3;11;22;24;44;48
2;4;9;14;21;43
7;8;19;30;41;43
14;15;16;22;31;36
2;6;19;34;47;48
8;18;22;29;31;34
8;13;16;25;31;41
7;33;34;38;41;43
18;25;27;29;44;46
15;18;22;26;32;43
20;23;24;39;45;46
10;19;36;40;45;46
10;24;33;37;38;41
13;15;17;26;29;39
8;20;21;40;41;44
1;2;7;23;29;42
9;21;23;35;38;45
2;4;8;15;25;26
2;8;34;39;41;46
9;22;33;36;37;38
5;6;36;37;38;43
10;16;27;35;41;47
2;5;8;32;39;45
3;4;13;33;40;43
9;10;13;19;24;26
6;11;22;30;38;43
5;24;28;41;47;48
3;5;20;38;45;46
6;10;31;34;42;43
3;5;15;23;30;46
3;8;10;23;35;41
5;6;17;19;43;45
28;31;39;40;43;47
5;6;19;27;40;47
21;24;36;38;45;48
1;9;21;29;30;43
6;8;26;30;33;47
2;3;4;23;35;43
5;9;10;17;34;35
5;8;24;26;29;44
17;25;33;41;43;44
9;17;19;31;36;45
6;11;24;34;36;41
8;31;37;39;43;44
2;13;15;24;26;46
3;10;28;30;39;43
3;30;31;32;33;34
10;8;19;23;36;42
3;22;25;27;36;39
18;24;26;31;37;40
2;10;11;31;32;44
4;10;17;40;45;47
17;22;24;32;47;48
7;8;13;17;21;38
4;15;20;23;24;27
1;11;25;28;32;45
3;16;18;33;37;45
10;14;21;29;31;48
4;8;20;26;30;40
20;26;33;34;43;45
2;3;14;27;30;48
3;5;10;16;33;34
6;10;11;21;44;47
2;8;31;32;41;46
1;4;25;32;33;34
4;18;25;29;39;47
8;18;28;32;42;44
1;14;18;20;25;41
7;11;25;27;37;47
13;18;25;30;37;40
3;4;11;14;18;31
3;7;8;31;35;37
5;22;25;36;37;47
10;8;15;40;42;45
22;30;31;34;41;48
6;8;13;18;27;37
3;5;11;19;30;31
4;6;22;24;29;47
3;15;27;30;44;46
11;17;23;24;27;48
9;31;33;37;46;48
15;34;36;43;44;47
1;5;9;21;31;32
8;14;19;41;42;44
11;17;18;25;35;44
9;28;34;38;42;44
1;3;14;18;21;48
6;28;32;40;42;48
2;6;8;18;37;48
3;5;7;8;15;18
2;3;4;21;30;32
9;13;14;33;38;41
6;13;18;34;35;45
9;22;23;33;42;47
1;9;38;41;43;48
2;8;24;28;33;35
2;16;19;23;31;32
10;25;30;33;44;46
2;9;16;17;38;42
2;7;13;26;30;42
5;19;25;26;41;46
13;17;19;20;28;34
3;14;16;24;34;45
2;13;14;26;32;45
10;14;31;32;42;47
5;14;16;24;38;46
2;4;14;24;27;46
3;4;7;8;34;39
9;16;22;24;41;47
3;8;10;27;30;41
1;22;32;42;44;46
2;11;34;36;44;48
8;17;23;35;40;44
4;14;30;40;44;45
6;8;13;26;29;45
4;14;17;38;39;42
23;25;26;31;36;45
27;31;35;36;40;48
17;20;25;39;41;48
5;11;13;20;29;44
2;3;7;14;32;39
1;10;14;18;42;48
3;10;18;29;41;45
16;38;44;46;47;48
3;22;25;32;43;46
8;13;17;22;29;32
7;16;27;28;35;45
23;24;34;37;39;44
5;27;33;40;45;47
9;32;34;39;43;44
7;9;18;19;35;40
2;7;8;17;23;39
14;20;36;37;42;46
5;7;25;34;41;45
11;21;23;42;44;47
8;36;37;39;42;48
4;5;8;42;46;48
6;20;22;32;37;46
2;6;10;31;34;37
1;8;15;20;32;48
9;10;8;18;23;36
1;2;13;18;23;40
3;7;8;20;26;39
10;13;18;25;30;41
6;11;19;21;24;41
23;28;37;39;42;45
1;10;16;17;31;46
5;8;13;36;38;41
16;21;34;36;43;47
5;7;9;19;27;32
1;3;11;16;37;43
5;7;8;16;36;37
3;15;17;18;34;48
9;8;24;31;34;47
3;7;29;34;41;44
1;3;4;13;27;31
14;15;25;30;44;47
2;8;17;18;22;34
5;17;20;22;36;38
4;18;20;25;37;38
26;29;38;39;41;44
2;15;26;29;43;48
1;13;16;34;43;46
4;6;11;17;36;37
10;16;31;42;45;46
5;8;10;24;30;33
1;10;13;17;23;43
15;21;34;36;39;43
1;15;18;26;36;45
4;13;21;31;44;47
4;20;28;34;47;48
5;19;26;27;37;45
2;15;20;32;33;47
7;8;9;13;31;38
6;15;18;23;26;37
9;10;20;40;41;42
2;16;20;33;34;39
17;25;28;29;38;42
2;8;15;22;24;25
2;7;8;14;30;44
2;4;11;25;34;46
8;28;30;39;43;45
27;37;42;43;45;47
7;16;26;27;39;46
6;8;15;16;32;46
13;15;27;28;38;39
7;10;24;26;29;43
5;9;11;13;18;47
1;8;21;32;42;43
5;15;16;25;34;41
4;13;26;29;44;47
17;22;25;32;39;43
2;6;7;8;14;31
17;19;21;25;30;37
10;17;20;22;34;38
4;27;31;33;36;48
8;18;24;36;38;40
6;8;9;10;23;34
2;6;14;20;22;33
4;16;21;32;40;45
6;25;28;38;39;46
8;8;13;14;33;47
3;8;25;32;34;45
2;4;16;21;27;36
2;5;19;28;33;46
1;5;8;16;21;30
8;21;26;33;35;43
1;6;7;10;35;37
10;32;33;34;37;48
7;9;14;26;33;44
1;9;21;35;37;46
2;3;13;38;40;46
2;4;6;14;30;39
6;8;9;13;27;40
2;7;16;21;24;37
3;6;7;13;34;35
7;8;18;36;37;47
5;7;13;29;33;39
11;13;14;17;37;42
9;23;25;30;34;44
6;8;21;26;46;48
11;27;32;34;37;42
1;5;11;23;33;41
7;19;20;23;27;41
3;15;17;27;44;46
2;3;5;8;28;31
8;9;11;23;36;42
3;5;21;24;28;44
16;23;26;31;39;43
8;17;30;34;42;44
6;9;13;18;22;27
6;9;8;25;27;42
10;15;21;30;38;41
18;19;27;29;40;46
10;14;15;19;27;47
9;15;17;37;44;45
8;20;23;24;30;37
11;29;33;38;43;44
2;6;9;28;37;45
2;13;16;24;38;39
4;17;24;25;28;29
8;26;36;40;47;48
2;5;19;25;27;46
1;7;15;20;24;37
3;4;13;14;30;32
5;26;27;30;39;45
1;20;21;25;29;30
16;17;23;25;37;39
15;22;28;29;31;32
25;27;41;43;46;47
2;4;11;17;31;45
5;10;17;27;33;45
10;15;21;33;37;46
2;17;25;27;31;37
3;17;20;21;31;45
8;9;13;20;39;41
4;6;24;30;32;48
15;32;36;37;45;46
9;11;30;37;44;46
2;3;21;28;33;42
2;14;16;17;25;31
10;8;15;18;41;43
2;6;25;39;40;44
15;30;32;40;41;45
24;27;28;31;35;38
2;3;8;11;14;43
1;4;13;17;32;34
3;9;14;19;34;40
7;13;22;26;42;48
2;5;7;28;39;42
6;17;19;38;39;46
7;8;26;32;42;46
8;16;22;24;45;46
8;13;30;36;43;45
2;9;10;18;25;31
2;17;19;25;41;45
4;6;10;23;29;30
5;22;29;34;45;48
5;11;12;20;26;47
6;10;12;28;33;48
8;13;20;23;37;38
14;16;25;30;31;42
3;6;14;28;32;35
2;11;20;21;24;34
4;10;21;25;29;32
9;13;14;19;22;27
11;12;13;16;28;34
16;19;24;34;36;46
11;19;30;40;43;47
7;19;28;34;39;42
3;8;16;20;32;34
8;27;37;39;43;46
7;16;26;27;32;36
17;23;32;33;41;42
7;10;16;34;37;38
2;21;26;31;39;41
1;25;28;29;42;43
13;14;15;18;23;46
5;8;10;13;16;23
6;14;17;23;26;32
7;9;27;31;41;47
2;3;14;15;24;28
1;16;26;35;41;45
11;27;29;37;44;45
2;20;21;43;46;48
12;15;17;19;20;32
1;4;14;21;24;46
5;7;10;13;31;34
1;7;17;28;33;46
3;5;24;25;30;31
5;7;27;41;46;47
12;17;30;32;41;42
1;13;22;41;42;43
3;10;12;20;27;43
8;18;19;39;41;44
11;18;22;24;39;46
3;4;14;17;22;35
4;7;10;41;42;44
5;14;23;25;32;45
15;32;40;43;45;46
7;9;20;22;27;30
9;16;24;39;43;47
