No1;No2;No3;No4;No5;No6;No7;No8;No9;No10;No11;No12;No13;No14;No15;No16;No17;No18;No19;No20
4;7;11;17;21;22;23;26;28;34;40;42;43;49;53;54;56;63;64;65
7;9;10;13;15;16;17;19;25;27;30;31;37;40;47;50;54;57;58;61
3;6;7;9;11;17;19;22;31;32;34;44;45;49;57;61;64;66;69;70
5;7;10;14;18;21;24;29;34;37;41;42;43;48;55;61;62;63;65;69
1;2;9;10;17;19;22;23;24;27;28;43;46;49;57;59;60;65;68;69
3;4;5;6;7;10;14;15;21;30;38;40;43;47;51;53;55;62;69;70
1;2;9;10;14;16;17;22;23;27;41;42;43;46;49;53;61;64;65;69
2;3;5;11;18;23;25;33;35;41;46;47;48;50;52;53;57;60;64;70
5;6;10;11;13;16;19;22;29;30;36;37;42;43;44;52;63;67;68;69
12;14;23;25;30;34;38;39;40;42;43;44;45;49;54;56;64;65;66;70
1;4;5;6;8;18;19;23;28;29;31;34;35;39;45;48;49;51;64;67
5;7;8;10;15;17;20;22;33;36;45;50;52;57;59;62;63;65;68;69
9;13;15;22;23;32;37;39;40;41;47;49;52;54;57;58;59;63;64;68
2;6;18;19;22;27;33;34;35;36;38;42;43;49;50;57;60;68;69;70
2;5;8;11;12;13;16;20;22;33;37;42;49;50;52;53;59;61;65;67
3;4;7;10;14;16;18;21;26;27;31;35;38;39;45;46;55;61;62;69
3;4;11;12;17;18;19;21;26;27;31;33;37;39;41;43;60;63;67;70
4;11;13;16;27;34;35;41;43;47;50;52;55;56;60;63;64;65;66;68
7;9;12;15;18;24;30;33;37;38;40;41;43;46;52;53;60;62;66;69
3;5;6;8;9;20;21;28;33;34;36;40;44;54;58;59;63;68;69;70
2;4;5;6;17;19;28;29;31;32;33;34;37;39;45;57;60;62;66;68
3;8;11;13;15;16;18;22;23;32;34;35;41;42;43;56;62;63;66;68
6;7;11;15;22;28;31;32;33;37;38;39;43;45;46;48;54;59;61;69
1;3;4;6;10;15;17;25;33;35;41;42;44;47;50;54;58;62;65;67
6;8;14;15;16;20;21;24;29;31;34;41;44;49;53;55;64;65;69;70
8;11;14;18;19;26;27;28;33;36;39;41;42;57;59;60;62;64;66;67
1;5;6;7;24;31;32;34;37;41;46;47;49;52;54;56;64;65;67;68
4;5;8;18;19;21;24;27;28;30;34;41;44;48;49;58;62;65;68;70
2;5;6;7;8;11;12;17;22;23;25;35;42;43;44;49;50;54;62;65
10;11;16;19;22;23;30;36;42;43;44;45;47;52;53;54;56;57;60;65
4;7;9;12;16;18;22;24;25;28;31;34;39;48;57;58;63;64;69;70
2;5;8;11;14;17;19;20;34;36;39;45;49;56;64;65;66;67;68;70
2;9;16;18;19;23;25;26;35;36;37;39;40;46;51;57;60;64;67;70
10;11;12;14;16;30;33;37;41;43;46;49;51;56;60;61;63;64;65;68
1;3;5;7;14;17;18;19;25;29;30;31;35;47;48;51;55;65;67;68
2;3;7;13;16;19;25;30;31;34;36;37;41;50;51;52;54;60;61;65
5;6;9;14;15;17;21;23;25;26;28;33;42;44;46;47;61;62;66;67
3;4;9;13;14;16;20;23;25;29;35;37;46;47;48;49;52;59;64;67
7;11;12;13;14;17;22;23;29;34;36;43;48;49;50;51;53;54;55;64
3;5;14;15;18;19;24;27;29;38;47;52;53;54;55;57;61;67;68;69
3;6;7;9;10;11;24;32;34;47;50;52;53;54;55;57;58;61;67;68
10;13;15;19;24;32;33;34;38;40;43;46;48;51;55;57;59;67;68;70
1;3;4;12;13;14;15;18;19;31;40;45;46;49;51;57;59;64;67;70
9;12;21;24;26;32;33;34;35;37;43;44;45;47;56;57;59;61;62;64
4;7;9;10;13;17;22;24;27;32;34;37;39;44;45;46;49;54;55;67
2;4;6;9;13;18;20;23;26;27;32;35;40;43;51;52;55;56;62;68
8;10;14;20;21;23;29;30;33;34;36;37;50;51;56;57;59;61;64;65
1;2;3;4;5;6;14;15;16;17;32;38;41;52;54;56;57;61;64;66
2;5;8;14;22;23;24;35;41;43;44;49;50;51;54;56;57;58;68;69
10;11;12;13;16;17;28;31;32;33;39;40;43;46;49;56;60;64;68;70
2;4;5;9;13;17;22;23;29;39;41;46;47;52;54;59;60;61;66;69
4;5;9;10;16;17;22;26;32;33;38;39;40;45;53;55;56;63;67;68
13;17;19;21;22;27;28;33;34;46;47;48;53;62;63;64;67;68;69;70
2;5;6;7;8;16;19;27;30;31;32;40;45;47;48;59;60;62;63;70
7;11;15;16;18;27;35;36;39;40;43;45;47;49;50;51;53;62;64;65
1;4;5;22;25;26;29;31;34;35;39;40;41;45;49;56;59;60;61;63
9;12;18;19;23;27;28;30;33;37;40;41;46;50;54;60;65;66;69;70
1;3;7;10;17;24;28;29;30;31;39;41;46;48;50;51;53;54;55;70
1;4;8;9;10;11;13;29;30;34;36;41;43;50;51;60;61;67;68;70
1;6;10;11;17;20;23;26;29;32;36;38;43;45;46;49;50;55;63;64
5;6;7;10;11;13;14;20;21;24;25;34;39;44;52;53;55;61;62;63
1;2;4;7;8;11;12;16;20;23;31;34;40;46;48;52;54;57;62;63
11;13;18;19;22;23;27;42;44;46;48;49;50;51;53;58;59;61;68;70
7;8;12;16;19;21;25;26;32;35;36;40;45;50;55;56;58;66;67;68
2;3;4;15;17;22;23;32;34;35;38;40;42;50;52;60;62;67;68;70
1;5;9;11;12;13;20;26;32;34;38;39;40;42;51;57;62;67;68;70
2;19;23;24;29;34;36;37;43;47;48;49;50;53;59;62;64;66;69;70
1;2;14;17;18;20;21;24;30;31;35;37;41;43;44;48;50;51;55;69
1;5;14;15;16;25;28;29;30;31;37;38;40;46;50;53;59;60;66;69
2;3;5;8;9;14;16;19;20;21;28;32;40;43;44;46;55;61;64;69
1;7;11;21;22;23;25;26;28;29;32;40;44;45;46;49;52;66;68;70
2;6;11;12;16;19;28;29;33;34;36;39;40;51;52;55;58;61;62;67
2;3;4;5;7;12;13;14;19;21;22;24;28;31;36;37;44;52;58;69
1;2;10;15;18;20;21;26;31;33;34;36;40;42;44;46;51;63;68;70
8;10;11;15;16;18;20;28;31;32;35;38;49;54;55;58;59;60;66;70
1;3;4;7;16;20;22;27;29;33;40;42;51;54;57;61;65;67;68;70
4;7;8;19;22;23;27;33;35;39;43;46;49;51;54;56;60;65;67;70
1;4;13;14;18;22;24;26;27;28;29;37;44;47;53;55;60;66;67;70
2;3;5;14;15;16;17;20;23;29;32;36;43;46;47;50;57;58;61;67
6;14;15;17;18;28;31;40;42;43;45;46;48;49;54;55;57;59;67;69
5;6;7;18;22;26;27;28;31;35;36;37;41;44;45;46;53;59;64;66
1;4;7;16;28;32;33;34;37;38;41;43;45;46;51;57;65;66;67;68
3;8;12;17;18;32;37;38;41;42;44;45;46;53;54;56;58;61;67;70
2;12;19;23;25;26;27;28;38;40;44;45;50;51;53;59;64;66;68;70
1;6;9;11;19;26;31;33;36;40;48;49;50;54;56;57;58;59;61;68
1;4;6;8;11;19;24;25;27;31;34;44;46;47;49;50;52;59;60;61
3;4;13;14;18;19;21;25;28;29;30;32;37;42;43;51;53;56;57;63
2;7;8;11;14;20;22;26;27;29;30;32;34;44;45;52;59;63;66;69
1;2;4;5;7;8;10;22;23;26;29;32;33;34;45;52;55;61;67;70
1;9;10;13;14;18;21;24;27;28;30;31;39;40;46;47;52;59;67;68
1;9;11;12;14;15;16;19;22;26;27;28;43;46;54;55;56;61;63;69
3;4;8;10;14;16;20;26;30;38;40;44;48;50;51;56;58;60;63;66
2;3;6;8;9;16;17;18;22;26;34;35;51;54;55;56;57;59;64;65
1;2;5;8;13;19;22;23;31;34;35;36;40;43;44;45;55;58;66;67
1;2;3;6;8;12;13;19;20;24;33;38;39;40;50;51;52;61;64;67
3;4;8;10;11;15;17;23;27;33;47;51;52;54;55;58;61;63;65;66
3;12;18;20;23;25;27;29;32;33;40;42;43;44;46;48;51;61;65;67
3;5;8;17;18;20;25;26;27;29;37;38;42;43;44;45;47;50;54;62
3;4;5;9;11;18;19;22;25;41;46;49;50;52;54;56;57;58;62;63
1;3;6;7;11;13;15;20;25;28;34;36;39;45;46;48;58;60;61;67
2;5;9;14;15;26;31;32;33;34;35;36;39;48;54;57;59;61;63;67
1;2;13;14;17;18;20;21;23;24;25;31;34;36;42;52;56;58;63;65
2;7;9;17;21;28;29;31;34;36;37;42;45;46;48;49;51;61;63;70
1;2;8;11;12;13;14;16;19;20;29;30;34;35;42;46;55;59;66;70
2;3;5;11;13;14;16;18;26;31;32;34;39;40;43;46;50;53;55;63
2;17;18;19;21;22;23;28;38;42;46;53;55;58;60;62;64;65;66;67
6;9;18;20;26;27;31;38;39;40;41;45;46;48;51;62;64;65;67;69
1;5;6;10;11;12;13;18;23;34;45;51;53;55;57;58;59;60;63;67
4;6;9;11;15;18;29;31;32;33;38;39;40;41;43;49;61;66;68;69
4;6;15;16;19;20;21;24;26;34;35;36;37;54;55;57;63;64;66;69
6;9;14;16;18;20;21;24;32;33;35;41;42;44;51;53;55;61;63;69
2;3;4;5;6;7;14;21;23;25;28;32;46;47;52;54;55;60;66;70
3;8;9;13;17;18;24;26;28;30;32;46;49;50;51;52;54;55;59;68
1;2;5;6;7;21;25;26;28;38;45;48;55;56;59;60;62;64;67;68
1;4;8;16;22;26;27;28;29;31;43;47;50;55;56;58;59;60;62;67
1;3;4;6;7;9;16;19;22;24;27;28;30;41;43;46;50;53;57;61
6;7;8;10;16;17;20;25;27;28;30;34;35;44;45;49;56;59;68;70
3;4;7;10;11;15;17;18;23;25;27;38;46;47;51;52;60;62;64;70
3;4;7;11;25;27;30;31;32;41;51;52;53;55;57;58;59;61;65;69
1;2;3;4;7;10;13;15;19;24;34;37;40;45;50;51;52;56;59;65
7;10;11;13;21;25;26;28;29;31;32;34;36;37;41;50;52;54;62;68
1;2;4;5;7;9;10;16;21;23;25;32;33;35;43;46;48;52;61;66
5;6;8;9;14;15;31;35;36;37;46;47;50;51;52;57;60;62;63;65
2;4;6;16;19;22;25;28;29;31;38;54;56;59;61;64;65;68;69;70
1;2;3;6;10;12;13;15;16;22;31;33;38;39;43;44;55;62;63;66
1;5;9;14;17;24;27;31;34;37;42;43;45;48;50;59;61;64;68;69
1;2;3;5;9;25;31;36;37;38;40;41;43;51;55;58;59;62;68;69
7;9;10;12;14;17;18;19;20;21;22;26;29;31;33;41;42;46;55;70
1;6;7;9;10;13;14;18;26;27;31;40;41;42;44;47;51;59;63;66
14;18;19;21;23;25;30;31;32;33;36;37;40;47;51;52;56;59;62;68
1;6;7;14;16;17;21;22;30;33;41;42;43;45;50;51;53;65;66;68
14;16;18;19;22;27;28;30;36;37;40;49;50;55;56;62;63;65;66;68
1;4;11;12;18;22;23;24;26;30;37;38;41;49;50;52;53;54;61;65
2;3;7;10;11;13;15;22;24;26;27;30;32;35;38;52;55;58;63;67
8;9;12;13;16;20;22;24;31;33;35;41;46;48;50;52;57;61;63;67
2;6;11;13;20;21;23;25;27;37;43;44;47;56;57;60;61;64;65;67
2;12;19;25;30;31;34;35;43;44;45;48;49;51;54;55;57;62;66;69
3;5;17;18;19;20;24;26;27;32;37;42;53;55;60;63;64;65;69;70
9;10;11;13;19;22;27;30;32;33;34;35;37;39;40;41;59;60;61;65
6;14;17;26;30;32;35;36;39;41;43;46;49;51;55;57;61;62;67;69
3;7;17;18;19;24;27;30;34;35;40;44;47;52;54;62;63;64;66;69
3;4;6;8;13;16;26;33;35;39;44;45;54;55;60;61;63;64;65;68
3;6;7;13;16;19;24;30;31;33;39;40;41;42;45;52;53;59;62;68
3;9;10;13;14;17;21;23;28;29;31;34;39;46;49;54;58;59;67;69
3;6;10;14;15;17;19;23;24;28;29;43;44;45;46;49;52;59;62;65
1;4;5;9;10;14;16;19;25;28;29;31;37;39;46;53;55;57;62;65
3;5;7;17;18;23;24;27;32;33;34;35;39;42;52;56;58;61;64;66
4;7;9;11;12;14;16;21;22;30;31;33;34;42;45;46;57;59;63;64
2;4;8;13;14;15;16;31;37;41;43;44;48;51;61;63;66;68;69;70
1;2;5;13;17;18;20;25;27;34;35;39;40;48;50;51;52;54;56;70
5;7;10;15;16;17;19;22;24;27;34;40;41;45;48;49;51;52;55;65
3;4;5;7;12;24;26;27;28;36;40;42;45;52;53;55;58;59;64;65
2;3;5;6;8;11;15;21;23;28;30;33;35;37;41;42;44;49;53;60
1;2;3;5;10;13;15;19;20;21;30;32;38;47;49;52;53;56;65;66
3;5;6;9;10;11;12;19;23;28;29;31;42;47;48;51;53;56;59;70
1;6;8;13;17;20;25;31;35;39;41;42;43;46;48;51;64;65;66;67
7;9;14;18;21;22;26;33;34;35;38;40;50;51;60;62;64;65;68;69
3;4;5;7;13;20;21;22;25;30;31;34;35;36;41;45;57;62;63;69
2;4;5;6;8;9;11;12;18;20;22;23;25;31;43;44;61;65;67;70
1;2;6;10;12;20;29;30;33;34;37;47;52;58;59;64;66;67;68;69
1;6;10;16;18;19;20;24;26;29;33;43;45;48;50;56;64;66;67;68
3;5;15;17;28;35;39;40;42;43;44;48;49;53;59;61;63;67;68;69
4;7;10;16;20;25;27;32;38;41;44;47;49;51;52;54;62;64;66;67
1;3;4;9;14;15;17;20;21;26;28;30;44;47;53;55;60;63;65;69
3;4;5;10;13;14;19;22;26;31;32;40;45;49;52;57;58;60;61;67
2;6;11;17;18;20;22;26;27;30;32;37;47;52;53;59;61;64;65;66
3;7;9;10;11;16;17;18;22;23;30;34;40;41;46;49;52;57;58;65
2;7;10;16;20;23;25;28;30;37;45;48;49;54;57;59;61;63;65;66
2;6;7;8;11;12;15;18;19;22;29;33;35;37;39;52;60;61;68;69
1;4;8;9;17;18;19;22;25;26;30;46;47;49;52;54;57;63;67;68
2;8;10;11;17;20;23;25;27;31;33;37;40;43;47;49;53;54;65;68
3;4;6;7;8;12;14;18;21;24;28;31;33;34;35;37;42;46;61;67
1;4;5;10;20;25;27;30;31;32;39;40;42;45;48;52;59;62;64;69
13;14;16;17;18;25;26;30;36;37;45;50;52;54;55;61;65;66;68;69
2;9;11;14;19;22;23;24;28;31;37;40;46;48;49;51;55;62;65;69
9;15;16;19;21;27;28;30;32;36;40;41;43;44;51;53;55;65;69;70
2;4;12;21;22;26;28;29;32;33;34;36;37;43;49;52;56;61;67;69
2;7;10;15;24;28;34;36;37;38;47;51;53;55;56;57;60;66;67;68
1;5;6;8;11;15;21;31;34;39;42;45;46;49;50;55;58;61;69;70
4;12;14;18;21;30;31;33;36;41;42;43;44;45;47;53;56;59;63;67
4;7;10;14;17;22;26;28;33;34;37;39;40;42;49;50;57;59;66;68
2;4;5;6;7;14;15;20;21;26;34;38;41;49;52;57;59;62;66;69
1;5;8;13;16;19;21;29;32;37;40;42;48;50;52;58;63;66;69;70
1;3;10;19;23;25;26;27;29;32;39;40;41;43;47;50;54;55;62;64
11;14;19;20;21;22;24;25;28;38;46;47;49;50;53;55;59;62;65;66
1;6;9;11;18;21;23;28;32;35;37;38;44;49;55;62;63;64;67;70
2;9;11;15;19;27;33;39;43;47;49;50;53;57;59;60;63;65;66;70
10;12;16;18;19;21;24;25;31;36;40;42;46;52;55;56;58;62;66;67
1;2;5;15;16;20;24;29;31;32;33;41;52;54;56;57;59;62;68;70
2;6;10;12;18;19;22;26;40;42;46;47;50;55;60;61;63;67;68;69
1;4;15;20;23;24;29;32;34;42;43;44;48;52;54;57;59;62;64;68
6;14;17;19;22;24;32;35;36;37;38;39;41;42;44;47;48;57;59;66
6;9;12;17;19;23;24;25;27;32;37;39;41;48;49;50;51;54;61;69
2;3;17;21;30;35;38;40;42;43;47;53;55;57;58;59;60;61;66;70
1;2;17;18;21;23;25;29;30;31;43;45;49;50;53;54;55;57;68;69
7;8;14;17;26;28;34;36;38;40;41;42;44;49;52;56;60;62;66;67
5;11;12;14;17;24;28;30;33;34;39;48;57;60;61;62;64;65;68;69
4;6;10;12;20;26;27;34;38;39;47;48;53;54;55;62;64;65;67;70
8;14;20;28;35;37;39;40;42;45;49;51;53;54;59;60;61;63;68;70
5;10;11;12;14;15;17;20;24;32;33;34;37;44;50;53;54;55;58;61
1;7;13;15;16;22;25;40;44;45;54;55;57;59;60;62;65;68;69;70
7;8;9;10;18;19;22;24;28;29;32;34;38;42;49;50;51;56;60;70
3;5;7;8;22;24;25;34;36;40;41;55;56;62;63;64;65;67;69;70
6;7;10;12;15;30;31;33;34;35;39;44;47;49;51;55;61;62;66;67
1;6;9;10;14;17;24;29;31;32;33;34;36;40;49;52;58;59;67;69
5;7;10;12;20;22;27;30;31;34;35;38;42;49;51;52;59;63;65;69
5;6;8;13;14;23;33;34;36;41;42;43;46;48;49;53;55;59;63;65
1;2;3;7;9;10;19;20;28;30;38;42;47;58;60;61;63;65;66;68
2;3;11;14;16;17;21;22;23;27;30;34;44;48;50;53;54;56;63;64
2;7;9;14;17;18;31;32;39;40;42;48;50;51;52;53;63;65;66;69
1;10;11;12;13;24;27;29;36;41;45;47;48;52;57;59;60;63;65;70
4;6;7;8;9;13;20;26;27;32;44;47;49;53;57;58;59;60;61;65
1;4;8;10;12;18;22;23;28;32;33;47;49;50;54;57;59;61;63;69
1;4;5;6;7;13;15;16;17;23;36;38;41;44;46;47;48;56;64;66
9;12;15;16;20;21;25;29;35;37;38;40;46;47;48;54;55;57;66;67
1;11;12;14;16;21;22;24;27;28;35;36;40;45;46;47;54;59;61;69
3;6;10;12;13;18;19;27;29;35;37;41;44;48;50;53;59;61;64;69
6;8;10;11;12;13;14;24;25;26;29;31;33;34;41;47;48;53;56;60
2;4;9;13;24;29;32;34;37;39;40;42;46;49;52;53;55;61;62;66
2;3;5;6;8;9;10;13;14;15;22;25;30;35;40;45;50;51;54;67
1;2;3;4;9;10;17;20;27;36;42;44;46;48;50;57;58;59;63;69
3;6;7;15;17;26;28;34;35;40;42;43;45;46;48;53;56;63;64;69
1;2;3;7;8;11;17;22;26;31;32;38;41;43;44;51;57;58;63;67
1;4;6;8;17;18;22;24;28;29;30;34;36;37;38;39;40;60;63;64
6;9;12;16;23;24;25;27;35;40;41;43;45;47;50;51;53;55;64;70
3;4;6;20;25;26;27;30;31;37;40;47;48;49;52;55;57;60;63;64
1;3;4;7;11;16;21;23;27;32;36;37;39;47;48;50;54;55;56;60
4;13;19;31;32;34;35;37;42;43;47;50;54;56;57;58;60;61;65;66
10;14;16;22;33;43;45;46;48;50;51;53;54;55;57;59;60;64;66;69
5;7;8;11;13;16;19;20;22;23;28;31;34;35;42;44;46;58;63;66
2;5;7;19;23;24;28;35;42;43;45;46;50;51;53;59;61;63;68;69
1;3;7;8;12;13;16;19;37;39;41;46;50;51;52;54;62;63;65;67
5;6;10;16;20;22;24;28;29;31;42;43;48;49;53;56;62;63;64;67
1;4;5;10;16;18;26;28;29;31;32;42;45;46;49;53;57;67;68;70
2;7;15;22;23;30;31;32;33;36;40;41;43;44;48;56;57;64;66;70
1;3;8;11;14;21;24;30;31;34;35;36;50;52;54;60;62;64;66;70
1;12;14;20;24;26;27;33;42;45;47;48;49;50;52;55;62;68;69;70
2;12;13;19;23;28;33;38;39;40;43;47;48;53;54;58;59;61;63;64
2;5;13;15;17;20;21;27;30;35;36;39;43;45;49;50;58;60;63;66
3;4;7;10;11;16;25;35;47;48;51;52;55;57;58;59;62;65;66;70
8;10;18;19;21;23;24;32;34;36;38;39;45;48;49;52;55;57;59;69
7;14;17;22;24;25;26;32;33;36;39;45;48;50;52;57;64;65;68;70
2;4;10;15;16;17;28;29;38;39;42;44;50;53;60;62;63;64;66;67
4;6;9;14;17;19;23;26;28;31;36;37;39;40;43;47;53;57;61;66
2;5;9;10;11;14;17;19;20;28;29;32;41;43;51;52;60;61;65;66
2;5;12;14;16;19;24;29;32;37;39;41;44;46;47;53;56;59;60;69
3;5;6;7;8;9;15;17;18;19;20;32;40;50;51;54;59;60;63;69
9;10;12;16;17;20;27;32;33;39;40;43;46;48;50;52;53;55;61;70
2;3;4;17;23;24;25;26;31;34;36;39;49;53;55;57;59;62;67;70
2;9;19;21;22;27;29;33;35;37;38;44;52;55;58;59;60;64;65;67
2;7;8;9;11;23;24;27;29;30;33;47;48;49;52;54;56;64;66;68
1;10;11;14;17;19;21;25;28;30;40;41;42;45;48;51;54;59;64;69
1;5;13;17;19;23;25;26;30;31;32;33;42;43;55;56;62;65;68;69
2;4;10;13;17;18;21;24;26;27;34;36;37;40;41;46;47;55;56;65
1;3;4;7;13;14;16;18;21;28;29;34;41;42;47;49;58;60;61;63
2;4;5;6;10;11;12;14;23;25;29;32;33;34;37;46;47;48;54;66
1;3;12;14;20;21;27;30;34;35;39;42;47;49;52;54;63;65;66;67
8;11;13;21;26;27;29;32;35;37;40;41;44;49;50;56;58;63;65;70
1;18;19;21;26;31;33;34;42;47;49;50;51;53;54;55;56;57;62;67
2;4;5;8;12;15;19;21;26;28;31;38;39;44;53;54;60;67;68;69
2;4;8;12;16;22;24;27;29;39;42;44;45;46;52;54;55;56;58;61
2;3;7;16;17;18;23;26;29;30;31;39;41;42;45;46;49;60;62;70
1;4;5;8;11;19;21;22;26;30;32;34;39;40;46;52;57;63;64;70
4;5;10;11;12;13;22;30;31;37;41;49;52;54;57;61;62;67;69;70
2;6;7;10;29;31;34;36;38;39;44;48;51;52;53;56;58;61;65;70
3;5;6;11;12;17;20;24;30;36;40;42;44;51;54;56;57;59;66;67
1;21;29;30;33;34;38;40;42;45;46;47;49;51;56;57;62;63;65;68
1;6;13;18;21;22;27;28;36;37;38;41;44;45;46;47;53;59;64;67
6;8;11;12;16;17;18;19;23;24;25;31;40;41;45;46;53;61;64;70
9;17;18;20;23;26;27;28;30;32;41;42;49;53;55;57;58;64;65;69
2;8;9;11;12;13;16;20;24;25;26;28;30;47;48;51;54;57;64;65
4;12;15;22;25;29;33;34;38;40;44;45;48;59;60;62;64;65;67;70
5;8;13;16;17;18;24;30;31;36;39;40;49;52;56;58;64;66;67;70
1;2;3;7;8;11;18;19;24;31;33;35;39;45;46;60;61;65;68;70
3;4;6;9;11;12;14;17;22;28;34;35;42;43;51;56;60;64;66;67
3;12;13;16;17;18;27;29;30;37;44;53;54;56;59;61;64;66;68;69
1;2;4;5;8;10;17;20;27;33;34;35;36;40;46;51;54;62;65;69
2;3;11;19;22;24;31;35;37;38;49;50;56;57;58;59;60;63;65;66
5;6;8;11;12;21;28;29;30;32;33;35;38;43;46;50;59;60;65;66
15;16;19;24;25;26;33;36;37;38;39;40;51;53;55;57;60;61;62;68
7;9;12;13;16;25;26;33;34;38;41;45;49;50;51;54;55;57;61;70
2;7;10;11;15;22;29;30;31;34;36;37;46;47;48;51;52;53;55;57
1;2;4;9;10;16;23;27;35;38;41;43;44;50;51;54;56;61;62;70
3;10;14;16;17;22;23;29;33;35;39;42;43;46;51;52;53;62;66;69
2;4;11;14;17;20;23;30;31;34;35;43;47;49;53;55;57;61;68;69
1;7;8;9;17;18;22;23;26;27;34;37;43;44;50;51;54;58;63;67
1;15;16;19;28;33;39;40;45;47;48;50;51;55;56;58;59;60;65;68
5;6;7;9;12;18;21;24;26;27;35;37;39;41;53;54;58;66;67;69
1;2;4;6;7;13;16;22;24;34;36;48;50;55;58;61;62;66;67;68
3;4;7;8;17;18;21;28;31;37;45;47;50;52;53;56;62;64;66;69
2;7;17;19;21;22;28;31;33;34;35;40;41;47;58;59;63;64;65;66
3;9;16;18;19;21;31;32;34;37;39;43;44;47;51;52;53;59;64;70
4;5;7;18;21;22;24;28;30;31;34;37;38;47;48;50;58;62;64;66
2;7;10;16;19;23;27;28;30;44;46;47;48;53;55;57;58;62;63;69
5;9;11;19;23;28;31;33;37;39;43;44;47;49;51;55;56;57;58;68
9;11;13;21;22;23;27;28;29;30;35;36;41;51;59;64;65;66;68;70
3;4;5;6;7;9;15;17;18;38;41;46;48;51;52;54;56;58;59;66
1;7;11;15;16;20;22;23;27;30;35;38;42;50;52;53;57;59;66;68
2;9;12;13;14;18;24;27;28;33;40;43;44;47;48;52;61;62;63;68
9;10;12;16;17;21;24;28;30;35;42;44;45;47;52;53;54;55;56;65
2;4;5;7;19;20;21;23;33;38;44;49;52;56;60;63;64;65;68;69
2;3;10;13;14;16;17;34;35;39;40;43;44;47;49;50;53;54;68;70
4;11;13;14;18;21;23;25;29;33;38;41;47;48;54;55;57;58;61;62
1;12;20;21;22;24;28;30;37;38;39;41;42;45;52;55;56;58;62;65
8;13;17;19;20;25;32;34;35;36;37;43;49;51;55;56;57;60;67;68
2;7;10;17;18;21;28;36;38;39;41;42;44;46;48;52;65;67;68;70
1;3;4;5;8;12;13;14;15;20;28;34;36;44;46;48;54;58;65;69
1;2;7;13;16;17;21;26;33;38;41;46;49;52;55;56;58;59;62;66
1;5;6;10;13;14;20;26;30;31;35;41;44;47;53;58;64;68;69;70
3;6;7;9;10;11;12;21;26;30;31;32;36;37;39;41;46;54;56;60
1;4;9;11;12;14;21;22;23;25;32;35;43;49;50;58;60;66;68;69
6;7;8;12;14;15;31;33;34;38;41;43;44;51;52;56;58;59;64;69
6;7;10;22;30;32;35;37;39;45;47;48;49;50;53;55;61;64;68;69
4;11;14;15;18;19;24;25;34;35;40;44;47;51;54;56;62;64;67;68
2;7;12;16;21;24;25;26;32;38;41;43;44;47;49;56;58;59;66;69
1;3;6;8;9;11;22;25;30;31;35;40;44;48;52;53;66;67;68;70
2;3;6;7;9;10;12;15;23;25;26;29;32;37;46;47;50;51;54;55
5;13;14;17;18;19;21;22;25;29;31;32;39;40;44;47;53;54;57;63
6;10;13;14;22;27;28;30;32;34;43;44;46;51;52;53;56;59;61;66
2;7;12;13;16;17;20;23;25;28;40;43;50;51;58;61;64;65;67;68
2;4;14;18;26;29;32;34;36;38;39;42;44;46;49;55;57;65;68;70
2;3;21;24;26;28;30;36;38;41;42;46;54;55;58;60;61;62;63;68
1;12;14;16;17;21;26;27;28;29;40;42;46;49;52;54;56;58;68;70
7;9;12;14;24;30;32;35;37;40;43;44;47;53;54;55;56;64;65;70
4;7;10;15;22;25;27;29;35;38;41;42;45;50;54;61;66;67;68;69
1;4;6;11;13;14;26;28;29;32;35;37;41;42;46;48;54;58;67;70
1;9;10;17;24;28;33;34;35;36;40;42;48;52;53;57;59;62;64;65
8;19;20;21;22;25;27;38;43;46;50;52;57;59;62;63;64;65;69;70
4;6;7;8;10;12;13;14;15;21;24;30;42;45;47;50;53;59;66;69
1;4;9;12;23;24;33;44;47;48;49;52;53;54;55;59;62;67;68;69
3;5;8;12;13;22;28;29;33;36;38;41;45;53;54;55;57;60;62;63
1;3;4;5;12;13;14;16;23;26;32;35;38;40;41;47;48;58;63;67
3;8;10;14;22;23;27;29;30;32;37;38;42;43;48;53;55;58;62;67
3;5;19;20;21;23;27;29;40;41;42;44;45;49;50;52;54;57;66;69
3;6;8;9;13;19;22;31;33;34;35;37;47;53;55;57;61;65;66;70
4;8;10;11;22;23;28;29;33;34;35;46;48;50;51;56;60;61;64;68
4;5;6;8;12;14;16;19;26;34;37;39;40;43;55;57;60;66;67;68
9;13;15;19;20;22;23;26;27;28;33;36;39;42;43;47;53;56;57;59
13;14;15;19;23;25;26;34;37;43;45;46;48;50;57;59;63;64;67;69
4;6;10;11;13;14;23;27;28;29;35;36;42;45;46;49;58;62;64;70
17;20;23;26;28;29;31;37;38;39;40;45;53;56;58;60;61;66;68;69
4;7;10;12;16;33;36;37;39;42;44;47;54;56;57;58;62;63;66;70
13;16;18;20;23;26;27;31;33;38;39;43;44;47;49;51;52;64;65;70
2;3;9;13;14;19;25;27;31;32;37;40;49;50;53;54;56;57;60;66
3;5;6;7;18;21;23;25;28;32;36;38;40;44;46;53;56;59;63;68
6;9;12;13;14;20;21;22;28;31;34;36;37;38;41;43;46;62;65;67
2;3;4;7;8;11;15;20;22;24;31;32;42;46;47;53;55;56;58;65
3;6;11;14;21;24;28;29;34;39;43;44;48;50;55;56;62;63;67;69
