No1;No2;No3;No4;No5;No6;No7;No8;No9;No10;No11;No12;No13;No14;No15;No16;No17;No18;No19;No20
1;3;6;8;10;17;30;32;39;41;44;47;49;52;54;59;60;62;66;69
4;10;13;17;18;23;24;27;28;30;32;34;37;39;41;49;57;59;60;62
7;10;11;14;16;23;30;31;40;41;42;46;50;53;54;56;61;64;65;66
2;7;11;12;15;16;18;19;25;27;30;31;33;41;44;48;55;63;64;66
1;2;5;6;7;10;21;29;30;32;36;38;43;44;45;46;54;62;65;66
4;13;18;19;26;27;29;31;33;38;39;50;54;56;57;60;61;63;65;68
3;8;11;12;15;16;17;18;26;35;36;40;46;49;52;58;59;61;62;64
1;9;12;13;19;20;26;33;34;37;42;45;46;47;49;50;52;61;65;69
3;7;14;16;20;22;24;25;26;30;33;34;36;41;46;47;48;51;52;69
1;5;13;16;18;19;22;25;30;40;41;42;50;52;59;60;62;63;65;67
2;6;7;12;16;17;18;19;23;25;32;33;37;39;40;43;52;56;58;70
3;11;12;14;17;18;24;27;28;34;36;38;49;51;53;54;59;67;69;70
2;4;5;8;12;15;16;21;27;29;32;33;36;47;58;59;60;62;63;69
1;3;6;7;13;14;18;22;25;26;27;30;35;36;37;44;50;54;60;67
5;6;8;10;18;21;26;27;32;35;37;38;41;46;47;48;60;61;64;70
1;4;5;6;8;14;18;19;26;28;30;41;45;48;50;56;59;66;67;69
1;2;7;8;11;13;17;18;19;24;26;30;31;40;49;54;56;64;65;68
1;3;6;8;10;14;16;18;20;21;25;28;31;37;40;51;57;62;63;66
3;6;12;14;18;19;23;29;30;31;33;34;35;36;40;47;56;57;59;65
3;7;9;10;14;16;17;23;27;31;32;35;37;38;39;50;51;64;67;69
5;6;7;10;11;20;23;24;26;30;32;36;40;45;51;52;55;59;63;70
9;16;17;19;20;28;30;33;36;44;45;49;51;56;57;61;64;67;69;70
1;2;3;6;12;13;17;18;23;24;30;34;40;42;45;49;51;56;61;65
7;8;12;17;22;23;25;28;32;36;37;39;40;42;43;51;53;57;58;66
1;3;4;6;7;8;9;10;14;21;22;27;33;34;35;52;53;55;57;66
5;11;18;26;29;30;32;33;34;41;46;52;53;54;56;61;62;65;67;69
1;2;5;15;21;26;27;29;31;37;39;40;41;42;45;48;52;62;66;68
3;6;7;11;12;16;17;18;19;21;22;23;32;34;42;43;45;55;66;67
3;4;6;7;8;9;16;17;40;42;43;48;49;50;54;56;64;65;68;70
4;5;6;11;12;14;21;27;31;32;33;34;35;36;40;46;47;51;56;66
2;8;9;10;24;31;35;37;38;39;40;45;51;54;57;58;59;60;66;70
3;5;8;21;26;32;34;38;39;45;46;52;53;54;55;56;57;68;69;70
2;4;6;7;8;9;11;16;18;21;27;28;29;37;38;42;48;55;56;65
3;7;13;15;21;28;29;30;37;38;39;50;51;52;55;56;60;65;66;69
1;3;5;10;11;12;15;20;25;31;36;38;41;46;47;58;61;62;68;69
3;7;8;14;16;21;23;24;33;34;35;36;39;40;41;45;47;54;56;61
3;7;10;16;19;20;35;37;42;43;48;53;56;57;58;59;62;66;67;69
2;4;7;11;27;28;30;31;34;36;39;45;46;47;48;50;54;56;67;70
5;8;11;16;17;19;22;27;28;29;31;34;35;38;39;41;42;57;61;66
2;5;10;13;14;16;27;32;33;35;36;40;46;48;49;51;62;66;67;68
3;4;6;7;10;15;31;32;38;42;44;46;47;48;56;57;58;60;61;68
7;11;12;15;19;26;30;33;39;41;46;48;54;55;56;62;63;65;68;69
1;4;5;9;14;25;28;31;33;35;41;45;46;52;53;57;59;60;61;70
