Nro1;Nro2;Nro3;Nro4;Nro5;Star1;Star2
5;10;26;37;42;3;10
5;10;25;29;32;4;7
4;19;34;41;43;1;5
1;17;20;36;49;6;9
5;31;39;46;49;8;9
1;8;33;38;43;2;6
11;20;31;35;46;6;10
10;15;18;24;39;2;11
7;8;35;37;49;5;8
9;10;28;38;48;8;12
2;26;41;45;48;5;12
19;20;24;36;41;4;5
2;5;10;20;24;4;7
3;7;15;17;35;3;4
2;18;28;42;50;2;11
10;27;32;41;49;1;9
5;6;17;18;34;1;11
6;13;22;24;30;5;10
5;6;39;49;50;10;12
3;7;34;43;50;5;10
7;13;30;43;47;7;11
2;13;41;45;50;2;3
4;22;28;32;47;1;2
25;26;40;45;47;4;5
8;26;29;41;48;3;5
14;30;37;39;50;4;12
4;22;27;39;41;1;9
5;7;45;48;49;3;8
3;21;23;28;46;10;12
11;28;30;35;50;7;8
1;2;23;43;45;1;9
6;10;17;29;49;2;5
13;24;30;35;48;4;5
2;10;23;29;50;3;10
4;10;24;34;35;7;8
7;16;28;36;43;2;11
6;10;22;30;36;8;10
3;16;26;30;47;1;2
9;11;16;19;32;3;5
20;23;24;37;43;9;10
1;11;17;19;33;3;7
1;2;7;24;25;2;5
14;26;29;46;50;10;11
6;11;39;40;47;7;8
10;12;17;31;49;2;8
23;26;36;40;44;5;10
14;32;34;38;46;2;5
4;17;32;34;49;4;9
4;13;32;39;41;6;8
2;9;18;21;39;4;10
2;6;18;29;37;10;12
18;27;41;45;49;7;9
2;5;11;22;24;7;12
6;10;11;20;38;3;9
9;18;26;41;43;4;9
20;22;26;34;40;8;12
16;25;27;41;45;3;9
2;13;22;36;40;3;5
20;30;38;39;44;2;12
15;23;26;31;44;1;8
8;12;15;17;46;1;8
17;42;43;48;49;3;7
16;17;26;30;35;3;9
7;35;36;39;47;3;8
3;5;8;10;44;7;12
13;18;24;34;50;5;6
2;11;18;47;49;2;7
17;26;35;37;39;3;4
4;5;21;30;43;5;11
18;32;39;42;44;4;7
7;9;40;48;49;7;8
15;17;23;35;38;4;9
11;15;24;28;41;3;12
1;7;11;33;48;9;12
13;14;25;28;42;11;12
11;20;23;37;46;9;11
4;6;8;42;48;6;11
9;16;32;37;46;7;12
6;12;25;48;49;11;12
8;12;37;44;47;7;10
6;8;13;21;32;3;6
3;13;33;36;47;3;11
9;14;15;20;47;8;12
6;11;26;43;49;5;8
9;34;35;42;44;6;11
28;33;34;37;44;4;11
3;37;45;47;50;5;10
28;29;31;37;50;4;5
14;28;31;47;50;7;12
9;16;27;41;45;1;4
7;14;34;41;49;4;9
6;11;16;35;44;2;6
1;12;15;31;47;9;10
9;16;17;27;31;1;9
4;9;29;34;37;3;12
20;21;30;41;43;10;11
1;7;17;44;50;2;10
10;15;25;37;46;7;12
3;10;20;36;42;8;10
1;2;6;14;45;2;7
5;12;15;21;39;3;4
13;20;34;38;43;3;6
1;5;12;18;20;6;7
6;20;27;38;49;3;9
1;18;37;46;48;3;7
4;11;12;16;42;3;5
6;17;22;39;46;5;12
9;16;32;34;48;2;6
5;18;21;29;45;1;6
8;13;16;44;47;6;8
6;21;23;26;43;3;9
6;12;36;37;44;1;11
10;11;31;37;44;5;12
1;15;19;24;33;7;8
16;28;32;36;48;5;10
5;19;33;37;42;7;9
7;11;20;21;29;6;11
16;28;31;35;42;2;10
5;13;16;41;45;3;6
12;21;24;28;40;1;3
4;8;9;30;35;6;7
11;12;13;23;26;11;12
17;18;30;33;35;6;8
6;11;29;34;39;2;3
10;27;30;32;34;5;8
28;30;31;45;46;4;8
1;5;8;20;35;3;12
1;2;11;14;36;2;3
1;3;29;45;47;5;8
2;8;16;21;39;4;5
8;9;11;13;50;6;11
5;7;21;22;29;3;10
8;13;24;35;46;6;8
11;29;32;46;47;5;7
5;19;33;36;42;7;12
9;18;30;34;48;1;7
2;3;18;23;39;6;8
7;10;13;34;47;5;9
3;14;23;41;43;2;6
19;21;23;36;39;5;12
9;18;20;40;41;3;9
11;15;17;24;46;2;11
2;4;12;31;50;6;8
14;16;24;40;43;1;5
7;16;22;38;41;5;9
3;9;11;20;39;2;3
10;16;34;36;49;3;7
2;9;38;40;44;5;11
3;17;19;32;38;6;7
6;12;25;31;37;6;9
1;35;36;38;39;3;10
12;21;23;26;41;5;6
2;16;22;28;46;4;8
8;40;41;46;47;3;11
2;5;11;27;38;10;12
14;18;20;39;42;6;9
1;13;16;23;27;10;11
9;11;13;15;25;4;9
21;29;31;46;49;5;6
5;13;43;45;50;1;10
3;8;10;31;36;2;3
8;18;26;38;39;4;12
14;24;31;44;45;7;11
23;24;38;42;44;1;10
14;24;29;45;48;3;9
13;28;29;31;47;8;9
17;18;40;43;50;9;11
7;8;12;21;43;4;11
16;23;30;37;41;2;9
6;8;42;49;50;3;5
11;16;22;34;46;2;5
5;14;35;40;47;1;3
6;13;15;20;40;2;8
6;15;21;34;48;1;5
6;21;23;31;39;1;5
26;36;43;47;49;4;7
1;17;22;29;31;5;6
9;30;34;38;48;2;3
4;14;15;20;28;7;9
9;20;21;22;38;3;12
16;27;33;34;39;2;7
11;12;13;23;36;3;8
23;32;38;45;49;1;9
6;11;16;26;49;2;9
2;8;28;32;37;3;6
2;8;20;34;40;9;12
7;15;17;18;39;1;10
4;6;17;31;45;6;12
4;6;12;31;38;2;12
4;13;16;22;27;1;10
2;21;34;40;48;2;6
19;26;36;48;49;10;11
11;30;32;45;47;3;10
9;12;26;41;47;7;10
3;31;34;43;45;6;9
6;19;32;39;42;4;9
10;12;18;33;47;7;10
9;18;20;32;39;5;8
18;23;35;37;41;6;7
10;12;15;46;48;9;11
13;17;21;30;39;8;11
16;19;20;26;44;1;4
4;10;11;20;22;7;10
7;20;22;45;48;10;12
7;11;17;18;34;3;5
1;3;11;15;30;4;10
10;19;22;37;41;2;6
15;17;30;38;49;1;11
13;26;30;34;41;3;7
2;20;30;31;40;8;12
2;11;17;23;49;4;12
2;8;11;16;20;4;10
16;20;25;30;49;3;10
1;20;28;32;49;3;10
5;17;36;37;50;3;7
12;15;17;30;32;1;6
7;11;30;31;39;5;10
14;17;29;32;45;1;2
5;8;16;30;37;1;10
1;7;21;27;43;1;3
1;34;39;47;49;1;12
35;36;37;41;48;1;12
8;14;21;34;36;1;2
2;3;6;15;35;1;3
3;18;23;29;47;5;12
4;20;33;37;45;8;9
9;17;36;40;45;5;7
3;11;32;33;35;3;11
28;31;39;45;49;8;11
19;22;23;24;27;1;6
1;2;29;36;48;1;11
7;23;31;33;38;10;11
2;3;4;21;45;6;12
13;26;27;35;46;3;4
4;23;34;39;45;6;7
1;3;24;43;49;2;4
8;15;29;37;45;5;10
4;12;16;29;31;1;9
10;21;27;42;46;2;6
4;10;23;24;45;7;8
2;22;24;30;40;5;6
8;14;25;31;45;3;12
1;8;30;43;45;10;12
10;29;30;32;40;6;12
4;11;16;25;32;1;11
5;14;25;26;44;8;10
2;14;30;32;34;3;4
8;22;27;36;43;5;8
13;18;22;26;32;10;11
9;13;21;24;38;6;12
7;11;22;26;46;5;11
2;16;30;31;49;2;5
14;20;26;30;31;1;2
4;9;22;32;35;9;10
15;18;25;29;35;1;5
6;9;33;34;50;1;7
4;11;16;46;50;1;3
25;28;29;31;33;6;12
13;21;22;26;48;2;7
15;24;29;33;39;2;9
8;11;25;31;48;11;12
5;17;23;36;37;5;9
7;11;27;42;45;3;10
7;10;31;41;46;1;5
2;3;17;40;44;4;8
1;3;13;24;44;11;12
9;17;19;26;39;4;10
3;13;34;41;43;1;5
6;15;25;29;41;1;3
17;37;42;45;50;6;7
4;16;27;34;44;4;7
13;29;42;44;48;2;8
8;11;23;44;45;10;12
9;20;38;44;45;4;12
2;4;23;30;40;4;10
4;32;36;38;47;3;9
2;19;36;42;50;4;9
